,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,17450,18770,19180,19700,19280,19730,19860,22990,22460,22100,20240,23350,26030
Australia,37840,40340,41560,44790,45690,45350,46170,47090,48670,50970,52840,56780,62920
Brazil,13810,14600,14620,15320,15370,14420,13910,14210,14550,14900,14590,15750,17270
Canada,39310,40880,41540,43620,45010,43990,45900,47700,49140,49920,48000,55310,60760
China,9220,10200,11140,11780,12500,12840,13420,14220,15430,16610,17070,19350,21250
France,36730,38430,38500,40410,41010,41730,43830,45580,47620,52340,49880,55020,58610
Germany,39730,43630,44400,46040,47950,48690,51830,54340,57060,60430,59560,64330,69210
India,4170,4430,4770,4950,5130,5350,5710,6050,6520,6830,6430,7220,8230
Indonesia,8210,8770,9370,9710,9890,9880,10150,10600,11320,11980,11830,12730,14250
Italy,35080,36510,36440,36250,36200,36640,40040,41810,43510,46840,44770,50550,55940
Japan,36280,37270,38640,40760,41030,42510,42010,42980,43750,44350,43920,46440,49820
"Korea, Rep.",31780,32750,33910,34460,35500,38020,39720,41120,43220,44240,45540,49140,52430
Mexico,15890,17170,17790,17800,18530,18740,19700,20060,20470,20500,18850,20580,23350
Russian Federation,19860,22130,23560,25170,24910,23420,23460,25230,28120,29120,29310,32410,33910
Saudi Arabia,48640,53810,55510,54850,55530,49420,46680,48260,49310,49480,48180,52500,59870
South Africa,12520,12970,12810,13230,13220,13270,13350,13560,13930,14080,13360,14440,15590
Turkey,17200,19420,20470,22170,23890,25570,26410,27840,27900,28020,28340,31230,37990
United Kingdom,36500,37380,37990,39250,40540,41570,43050,45550,46450,49860,46980,53130,57750
United States,49050,50870,53130,54380,56670,58180,58870,61160,64060,66290,64770,71130,77950
